Country/Region,Date,Confirmed,Deaths,Recovered,Fdate
Burkina Faso,5/12/20,766,51,588,2020-05-12
Andorra,5/12/20,758,48,568,2020-05-12
Paraguay,5/12/20,737,10,173,2020-05-12
Mali,5/12/20,730,40,398,2020-05-12
Tajikistan,5/12/20,729,21,0,2020-05-12
Uruguay,5/12/20,717,19,532,2020-05-12
Kenya,5/12/20,715,36,259,2020-05-12
Diamond Princess,5/12/20,712,13,651,2020-05-12
China,5/12/20,660,7,631,2020-05-12
China,5/12/20,653,0,653,2020-05-12
Georgia,5/12/20,642,11,349,2020-05-12
San Marino,5/12/20,638,41,161,2020-05-12
China,5/12/20,593,9,573,2020-05-12
China,5/12/20,579,6,573,2020-05-12
Jordan,5/12/20,576,9,390,2020-05-12
Canada,5/12/20,573,7,0,2020-05-12
China,5/12/20,561,3,558,2020-05-12
Australia,5/12/20,553,9,537,2020-05-12
United Kingdom,5/12/20,547,42,455,2020-05-12
Tanzania,5/12/20,509,21,183,2020-05-12
Jamaica,5/12/20,507,9,100,2020-05-12
Malta,5/12/20,506,5,434,2020-05-12
Zambia,5/12/20,441,7,117,2020-05-12
Taiwan*,5/12/20,440,7,372,2020-05-12
Australia,5/12/20,439,4,434,2020-05-12
Equatorial Guinea,5/12/20,439,4,13,2020-05-12
France,5/12/20,437,0,354,2020-05-12
Venezuela,5/12/20,423,10,220,2020-05-12
West Bank and Gaza,5/12/20,375,2,308,2020-05-12
Chad,5/12/20,357,40,76,2020-05-12
China,5/12/20,356,1,354,2020-05-12
Sierra Leone,5/12/20,338,19,72,2020-05-12
Congo (Brazzaville),5/12/20,333,11,53,2020-05-12
Mauritius,5/12/20,332,10,322,2020-05-12
United Kingdom,5/12/20,331,23,272,2020-05-12
China,5/12/20,328,6,321,2020-05-12
Benin,5/12/20,327,2,76,2020-05-12
Montenegro,5/12/20,324,9,298,2020-05-12
China,5/12/20,308,3,297,2020-05-12
Canada,5/12/20,290,7,0,2020-05-12
Vietnam,5/12/20,288,0,252,2020-05-12
Rwanda,5/12/20,286,0,153,2020-05-12
Cabo Verde,5/12/20,267,2,58,2020-05-12
Ethiopia,5/12/20,261,5,106,2020-05-12
Canada,5/12/20,261,3,0,2020-05-12
China,5/12/20,254,2,252,2020-05-12
Australia,5/12/20,227,13,184,2020-05-12
Nepal,5/12/20,217,0,33,2020-05-12
Liberia,5/12/20,211,20,85,2020-05-12
Haiti,5/12/20,209,16,17,2020-05-12
China,5/12/20,209,1,190,2020-05-12
Sao Tome and Principe,5/12/20,208,5,4,2020-05-12
Togo,5/12/20,199,11,92,2020-05-12
China,5/12/20,198,0,198,2020-05-12
South Sudan,5/12/20,194,0,2,2020-05-12
China,5/12/20,191,3,186,2020-05-12
France,5/12/20,187,14,91,2020-05-12
Denmark,5/12/20,187,0,187,2020-05-12
Madagascar,5/12/20,186,0,101,2020-05-12
China,5/12/20,185,2,183,2020-05-12
Eswatini,5/12/20,184,2,28,2020-05-12
Burma,5/12/20,180,6,76,2020-05-12
China,5/12/20,168,6,162,2020-05-12
France,5/12/20,155,13,109,2020-05-12
United Kingdom,5/12/20,148,0,144,2020-05-12
China,5/12/20,147,2,145,2020-05-12
China,5/12/20,147,2,144,2020-05-12
France,5/12/20,144,1,122,2020-05-12
Central African Republic,5/12/20,143,0,10,2020-05-12
Brunei,5/12/20,141,1,134,2020-05-12
China,5/12/20,139,2,137,2020-05-12
China,5/12/20,133,1,108,2020-05-12
Uganda,5/12/20,129,0,55,2020-05-12
Cambodia,5/12/20,122,0,121,2020-05-12
United Kingdom,5/12/20,121,8,66,2020-05-12
Canada,5/12/20,120,0,0,2020-05-12
Trinidad and Tobago,5/12/20,116,8,107,2020-05-12
Guyana,5/12/20,113,10,36,2020-05-12
Australia,5/12/20,107,3,104,2020-05-12
Mozambique,5/12/20,104,0,0,2020-05-12
Netherlands,5/12/20,101,3,89,2020-05-12
Monaco,5/12/20,96,4,85,2020-05-12
Bahamas,5/12/20,93,11,39,2020-05-12
Barbados,5/12/20,85,7,57,2020-05-12
United Kingdom,5/12/20,85,1,50,2020-05-12
Liechtenstein,5/12/20,82,1,55,2020-05-12
Netherlands,5/12/20,76,15,46,2020-05-12
China,5/12/20,76,3,73,2020-05-12
China,5/12/20,75,0,75,2020-05-12
Yemen,5/12/20,65,10,1,2020-05-12
Libya,5/12/20,64,3,28,2020-05-12
France,5/12/20,60,0,58,2020-05-12
Malawi,5/12/20,57,3,24,2020-05-12
Syria,5/12/20,47,3,0,2020-05-12
Angola,5/12/20,45,2,13,2020-05-12
China,5/12/20,45,0,42,2020-05-12
Mongolia,5/12/20,42,0,15,2020-05-12
France,5/12/20,39,3,30,2020-05-12
Eritrea,5/12/20,39,0,38,2020-05-12
Zimbabwe,5/12/20,36,4,9,2020-05-12
Australia,5/12/20,29,0,27,2020-05-12
Canada,5/12/20,27,0,0,2020-05-12
Nicaragua,5/12/20,25,8,7,2020-05-12
Antigua and Barbuda,5/12/20,25,3,19,2020-05-12
Botswana,5/12/20,24,1,17,2020-05-12
Timor-Leste,5/12/20,24,0,0,2020-05-12
Gambia,5/12/20,22,1,10,2020-05-12
Grenada,5/12/20,21,0,13,2020-05-12
Laos,5/12/20,19,0,13,2020-05-12
Belize,5/12/20,18,2,16,2020-05-12
China,5/12/20,18,0,18,2020-05-12
Fiji,5/12/20,18,0,14,2020-05-12
France,5/12/20,18,0,18,2020-05-12
Saint Lucia,5/12/20,18,0,17,2020-05-12
Saint Vincent and the Grenadines,5/12/20,17,0,12,2020-05-12
Netherlands,5/12/20,16,1,14,2020-05-12
Namibia,5/12/20,16,0,11,2020-05-12
Dominica,5/12/20,16,0,15,2020-05-12
Burundi,5/12/20,15,1,7,2020-05-12
Saint Kitts and Nevis,5/12/20,15,0,14,2020-05-12
Canada,5/12/20,13,0,0,2020-05-12
United Kingdom,5/12/20,13,0,13,2020-05-12
United Kingdom,5/12/20,12,1,8,2020-05-12
Holy See,5/12/20,12,0,2,2020-05-12
United Kingdom,5/12/20,11,1,8,2020-05-12
Comoros,5/12/20,11,1,0,2020-05-12
Bhutan,5/12/20,11,0,5,2020-05-12
Denmark,5/12/20,11,0,11,2020-05-12
Seychelles,5/12/20,11,0,10,2020-05-12
Canada,5/12/20,11,0,0,2020-05-12
Suriname,5/12/20,10,1,9,2020-05-12
MS Zaandam,5/12/20,9,2,0,2020-05-12
Mauritania,5/12/20,9,1,6,2020-05-12
Papua New Guinea,5/12/20,8,0,8,2020-05-12
United Kingdom,5/12/20,7,1,4,2020-05-12
France,5/12/20,6,0,6,2020-05-12
Western Sahara,5/12/20,6,0,6,2020-05-12
Canada,5/12/20,5,0,0,2020-05-12
United Kingdom,5/12/20,3,0,3,2020-05-12
Canada,5/12/20,1,1,0,2020-05-12
China,5/12/20,1,0,1,2020-05-12
France,5/12/20,1,0,1,2020-05-12
