Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name
China,31.6927,88.0924,5/12/20,1,0,1,2020-05-12,AS,Asia
China,41.1129,85.2401,5/12/20,76,3,73,2020-05-12,AS,Asia
China,24.974,101.487,5/12/20,185,2,183,2020-05-12,AS,Asia
China,29.1832,120.0934,5/12/20,1268,1,1267,2020-05-12,AS,Asia
Colombia,4.5709,-74.2973,5/12/20,12272,493,2971,2020-05-12,SA,South America
Costa Rica,9.7489,-83.7534,5/12/20,804,7,520,2020-05-12,,North America
Croatia,45.1,15.2,5/12/20,2207,91,1808,2020-05-12,EU,Europe
Cuba,22.0,-80.0,5/12/20,1804,78,1277,2020-05-12,,North America
United States,35.1264,33.4299,5/12/20,903,16,449,2020-05-12,,North America
Czechia,49.8175,15.473,5/12/20,8221,283,4889,2020-05-12,EU,Europe
Denmark,61.8926,-6.9118,5/12/20,187,0,187,2020-05-12,EU,Europe
Denmark,71.7069,-42.6043,5/12/20,11,0,11,2020-05-12,EU,Europe
Denmark,56.2639,9.5018,5/12/20,10591,527,8580,2020-05-12,EU,Europe
Djibouti,11.8251,42.5903,5/12/20,1256,3,886,2020-05-12,AF,Africa
Dominican Republic,18.7357,-70.1627,5/12/20,10900,402,3221,2020-05-12,,North America
Ecuador,-1.8312,-78.1834,5/12/20,30419,2327,3433,2020-05-12,SA,South America
Egypt,26.0,30.0,5/12/20,10093,544,2326,2020-05-12,AF,Africa
El Salvador,13.7942,-88.8965,5/12/20,998,20,349,2020-05-12,,North America
Equatorial Guinea,1.5,10.0,5/12/20,439,4,13,2020-05-12,AF,Africa
Eritrea,15.1794,39.7823,5/12/20,39,0,38,2020-05-12,AF,Africa
Estonia,58.5953,25.0136,5/12/20,1746,61,777,2020-05-12,EU,Europe
Eswatini,-26.5225,31.4659,5/12/20,184,2,28,2020-05-12,AF,Africa
Ethiopia,9.145,40.4897,5/12/20,261,5,106,2020-05-12,AF,Africa
Fiji,-17.7134,178.065,5/12/20,18,0,14,2020-05-12,OC,Oceania
Finland,64.0,26.0,5/12/20,6003,275,4300,2020-05-12,EU,Europe
France,3.9339,-53.1258,5/12/20,144,1,122,2020-05-12,EU,Europe
France,-17.6797,149.4068,5/12/20,60,0,58,2020-05-12,EU,Europe
France,16.25,-61.5833,5/12/20,155,13,109,2020-05-12,EU,Europe
France,-12.8275,45.1662,5/12/20,1095,12,492,2020-05-12,EU,Europe
France,-20.9043,165.618,5/12/20,18,0,18,2020-05-12,EU,Europe
France,-21.1351,55.2471,5/12/20,437,0,354,2020-05-12,EU,Europe
France,17.9,-62.8333,5/12/20,6,0,6,2020-05-12,EU,Europe
France,18.0708,-63.0501,5/12/20,39,3,30,2020-05-12,EU,Europe
France,14.6415,-61.0242,5/12/20,187,14,91,2020-05-12,EU,Europe
France,46.2276,2.2137,5/12/20,176207,26951,56617,2020-05-12,EU,Europe
Gabon,-0.8037,11.6094,5/12/20,863,9,137,2020-05-12,AF,Africa
Gambia,13.4432,-15.3101,5/12/20,22,1,10,2020-05-12,AF,Africa
Georgia,42.3154,43.3569,5/12/20,642,11,349,2020-05-12,AS,Asia
Germany,51.0,9.0,5/12/20,173171,7738,147200,2020-05-12,EU,Europe
Ghana,7.9465,-1.0232,5/12/20,5127,22,494,2020-05-12,AF,Africa
Greece,39.0742,21.8243,5/12/20,2744,152,1374,2020-05-12,EU,Europe
Guatemala,15.7835,-90.2308,5/12/20,1199,27,120,2020-05-12,,North America
Guinea,9.9456,-9.6966,5/12/20,2298,11,816,2020-05-12,AF,Africa
