Country/Region,Date,Confirmed,Deaths,Recovered,Fdate
US,5/12/20,1369,82,230,2020-05-12
Russia,5/12/20,232,2,43,2020-05-12
Spain,5/12/20,228,26,138,2020-05-12
United Kingdom,5/12/20,226,32,0,2020-05-12
Italy,5/12/20,221,30,109,2020-05-12
Brazil,5/12/20,178,12,72,2020-05-12
France,5/12/20,176,26,56,2020-05-12
Germany,5/12/20,173,7,147,2020-05-12
Turkey,5/12/20,141,3,98,2020-05-12
Iran,5/12/20,110,6,88,2020-05-12
India,5/12/20,74,2,24,2020-05-12
Peru,5/12/20,72,2,23,2020-05-12
China,5/12/20,68,4,63,2020-05-12
Belgium,5/12/20,53,8,13,2020-05-12
Netherlands,5/12/20,42,5,0,2020-05-12
Saudi Arabia,5/12/20,42,0,15,2020-05-12
Canada,5/12/20,39,3,0,2020-05-12
Mexico,5/12/20,38,3,25,2020-05-12
Pakistan,5/12/20,34,0,8,2020-05-12
Chile,5/12/20,31,0,14,2020-05-12
Ecuador,5/12/20,30,2,3,2020-05-12
Switzerland,5/12/20,30,1,26,2020-05-12
Portugal,5/12/20,27,1,3,2020-05-12
Sweden,5/12/20,27,3,4,2020-05-12
Qatar,5/12/20,25,0,3,2020-05-12
Belarus,5/12/20,24,0,6,2020-05-12
Singapore,5/12/20,24,0,3,2020-05-12
Ireland,5/12/20,23,1,17,2020-05-12
Canada,5/12/20,22,1,0,2020-05-12
United Arab Emirates,5/12/20,19,0,6,2020-05-12
Poland,5/12/20,16,0,6,2020-05-12
Bangladesh,5/12/20,16,0,3,2020-05-12
Israel,5/12/20,16,0,12,2020-05-12
Ukraine,5/12/20,16,0,3,2020-05-12
Japan,5/12/20,15,0,8,2020-05-12
Austria,5/12/20,15,0,14,2020-05-12
Romania,5/12/20,15,1,7,2020-05-12
Indonesia,5/12/20,14,1,3,2020-05-12
Colombia,5/12/20,12,0,2,2020-05-12
Philippines,5/12/20,11,0,2,2020-05-12
South Africa,5/12/20,11,0,4,2020-05-12
South Korea,5/12/20,10,0,9,2020-05-12
Dominican Republic,5/12/20,10,0,3,2020-05-12
Denmark,5/12/20,10,0,8,2020-05-12
Kuwait,5/12/20,10,0,3,2020-05-12
Serbia,5/12/20,10,0,3,2020-05-12
Egypt,5/12/20,10,0,2,2020-05-12
Panama,5/12/20,8,0,6,2020-05-12
Czechia,5/12/20,8,0,4,2020-05-12
Norway,5/12/20,8,0,0,2020-05-12
Malaysia,5/12/20,6,0,5,2020-05-12
Argentina,5/12/20,6,0,1,2020-05-12
Morocco,5/12/20,6,0,2,2020-05-12
Canada,5/12/20,6,0,0,2020-05-12
Algeria,5/12/20,6,0,2,2020-05-12
Finland,5/12/20,6,0,4,2020-05-12
Bahrain,5/12/20,5,0,2,2020-05-12
Kazakhstan,5/12/20,5,0,2,2020-05-12
Moldova,5/12/20,5,0,2,2020-05-12
Ghana,5/12/20,5,0,0,2020-05-12
Afghanistan,5/12/20,4,0,0,2020-05-12
Nigeria,5/12/20,4,0,0,2020-05-12
Luxembourg,5/12/20,3,0,3,2020-05-12
Oman,5/12/20,3,0,1,2020-05-12
Armenia,5/12/20,3,0,1,2020-05-12
Hungary,5/12/20,3,0,1,2020-05-12
Australia,5/12/20,3,0,2,2020-05-12
Thailand,5/12/20,3,0,2,2020-05-12
Bolivia,5/12/20,2,0,0,2020-05-12
Iraq,5/12/20,2,0,1,2020-05-12
Greece,5/12/20,2,0,1,2020-05-12
Azerbaijan,5/12/20,2,0,1,2020-05-12
Cameroon,5/12/20,2,0,1,2020-05-12
Uzbekistan,5/12/20,2,0,2,2020-05-12
Canada,5/12/20,2,0,0,2020-05-12
Guinea,5/12/20,2,0,0,2020-05-12
Croatia,5/12/20,2,0,1,2020-05-12
Bosnia and Herzegovina,5/12/20,2,0,1,2020-05-12
Honduras,5/12/20,2,0,0,2020-05-12
Bulgaria,5/12/20,2,0,0,2020-05-12
Senegal,5/12/20,1,0,0,2020-05-12
Cote d'Ivoire,5/12/20,1,0,0,2020-05-12
Cuba,5/12/20,1,0,1,2020-05-12
Iceland,5/12/20,1,0,1,2020-05-12
Estonia,5/12/20,1,0,0,2020-05-12
North Macedonia,5/12/20,1,0,1,2020-05-12
Sudan,5/12/20,1,0,0,2020-05-12
China,5/12/20,1,0,1,2020-05-12
Australia,5/12/20,1,0,1,2020-05-12
New Zealand,5/12/20,1,0,1,2020-05-12
Lithuania,5/12/20,1,0,0,2020-05-12
Slovakia,5/12/20,1,0,0,2020-05-12
Slovenia,5/12/20,1,0,0,2020-05-12
China,5/12/20,1,0,1,2020-05-12
China,5/12/20,1,0,1,2020-05-12
Djibouti,5/12/20,1,0,0,2020-05-12
Guatemala,5/12/20,1,0,0,2020-05-12
Somalia,5/12/20,1,0,0,2020-05-12
Congo (Kinshasa),5/12/20,1,0,0,2020-05-12
France,5/12/20,1,0,0,2020-05-12
Australia,5/12/20,1,0,1,2020-05-12
China,5/12/20,1,0,0,2020-05-12
Kyrgyzstan,5/12/20,1,0,0,2020-05-12
Tunisia,5/12/20,1,0,0,2020-05-12
Canada,5/12/20,1,0,0,2020-05-12
China,5/12/20,1,0,1,2020-05-12
El Salvador,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Latvia,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Kosovo,5/12/20,0,0,0,2020-05-12
Maldives,5/12/20,0,0,0,2020-05-12
Cyprus,5/12/20,0,0,0,2020-05-12
Sri Lanka,5/12/20,0,0,0,2020-05-12
Albania,5/12/20,0,0,0,2020-05-12
Lebanon,5/12/20,0,0,0,2020-05-12
Gabon,5/12/20,0,0,0,2020-05-12
Niger,5/12/20,0,0,0,2020-05-12
Guinea-Bissau,5/12/20,0,0,0,2020-05-12
Costa Rica,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Burkina Faso,5/12/20,0,0,0,2020-05-12
Andorra,5/12/20,0,0,0,2020-05-12
Paraguay,5/12/20,0,0,0,2020-05-12
Mali,5/12/20,0,0,0,2020-05-12
Tajikistan,5/12/20,0,0,0,2020-05-12
Uruguay,5/12/20,0,0,0,2020-05-12
Kenya,5/12/20,0,0,0,2020-05-12
Diamond Princess,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
