Country/Region,Date,Confirmed,Deaths,Recovered,Fdate
Georgia,5/12/20,0,0,0,2020-05-12
San Marino,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Jordan,5/12/20,0,0,0,2020-05-12
Canada,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Australia,5/12/20,0,0,0,2020-05-12
United Kingdom,5/12/20,0,0,0,2020-05-12
Tanzania,5/12/20,0,0,0,2020-05-12
Jamaica,5/12/20,0,0,0,2020-05-12
Malta,5/12/20,0,0,0,2020-05-12
Zambia,5/12/20,0,0,0,2020-05-12
Taiwan*,5/12/20,0,0,0,2020-05-12
Australia,5/12/20,0,0,0,2020-05-12
Equatorial Guinea,5/12/20,0,0,0,2020-05-12
France,5/12/20,0,0,0,2020-05-12
Venezuela,5/12/20,0,0,0,2020-05-12
West Bank and Gaza,5/12/20,0,0,0,2020-05-12
Chad,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Sierra Leone,5/12/20,0,0,0,2020-05-12
Congo (Brazzaville),5/12/20,0,0,0,2020-05-12
Mauritius,5/12/20,0,0,0,2020-05-12
United Kingdom,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Benin,5/12/20,0,0,0,2020-05-12
Montenegro,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Canada,5/12/20,0,0,0,2020-05-12
Vietnam,5/12/20,0,0,0,2020-05-12
Rwanda,5/12/20,0,0,0,2020-05-12
Cabo Verde,5/12/20,0,0,0,2020-05-12
Ethiopia,5/12/20,0,0,0,2020-05-12
Canada,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Australia,5/12/20,0,0,0,2020-05-12
Nepal,5/12/20,0,0,0,2020-05-12
Liberia,5/12/20,0,0,0,2020-05-12
Haiti,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Sao Tome and Principe,5/12/20,0,0,0,2020-05-12
Togo,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
South Sudan,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
France,5/12/20,0,0,0,2020-05-12
Denmark,5/12/20,0,0,0,2020-05-12
Madagascar,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Eswatini,5/12/20,0,0,0,2020-05-12
Burma,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
France,5/12/20,0,0,0,2020-05-12
United Kingdom,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
France,5/12/20,0,0,0,2020-05-12
Central African Republic,5/12/20,0,0,0,2020-05-12
Brunei,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Uganda,5/12/20,0,0,0,2020-05-12
Cambodia,5/12/20,0,0,0,2020-05-12
United Kingdom,5/12/20,0,0,0,2020-05-12
Canada,5/12/20,0,0,0,2020-05-12
Trinidad and Tobago,5/12/20,0,0,0,2020-05-12
Guyana,5/12/20,0,0,0,2020-05-12
Australia,5/12/20,0,0,0,2020-05-12
Mozambique,5/12/20,0,0,0,2020-05-12
Netherlands,5/12/20,0,0,0,2020-05-12
Monaco,5/12/20,0,0,0,2020-05-12
Bahamas,5/12/20,0,0,0,2020-05-12
Barbados,5/12/20,0,0,0,2020-05-12
United Kingdom,5/12/20,0,0,0,2020-05-12
Liechtenstein,5/12/20,0,0,0,2020-05-12
Netherlands,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Yemen,5/12/20,0,0,0,2020-05-12
Libya,5/12/20,0,0,0,2020-05-12
France,5/12/20,0,0,0,2020-05-12
Malawi,5/12/20,0,0,0,2020-05-12
Syria,5/12/20,0,0,0,2020-05-12
Angola,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Mongolia,5/12/20,0,0,0,2020-05-12
France,5/12/20,0,0,0,2020-05-12
Eritrea,5/12/20,0,0,0,2020-05-12
Zimbabwe,5/12/20,0,0,0,2020-05-12
Australia,5/12/20,0,0,0,2020-05-12
Canada,5/12/20,0,0,0,2020-05-12
Nicaragua,5/12/20,0,0,0,2020-05-12
Antigua and Barbuda,5/12/20,0,0,0,2020-05-12
Botswana,5/12/20,0,0,0,2020-05-12
Timor-Leste,5/12/20,0,0,0,2020-05-12
Gambia,5/12/20,0,0,0,2020-05-12
Grenada,5/12/20,0,0,0,2020-05-12
Laos,5/12/20,0,0,0,2020-05-12
Belize,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
Fiji,5/12/20,0,0,0,2020-05-12
France,5/12/20,0,0,0,2020-05-12
Saint Lucia,5/12/20,0,0,0,2020-05-12
Saint Vincent and the Grenadines,5/12/20,0,0,0,2020-05-12
Netherlands,5/12/20,0,0,0,2020-05-12
Namibia,5/12/20,0,0,0,2020-05-12
Dominica,5/12/20,0,0,0,2020-05-12
Burundi,5/12/20,0,0,0,2020-05-12
Saint Kitts and Nevis,5/12/20,0,0,0,2020-05-12
Canada,5/12/20,0,0,0,2020-05-12
United Kingdom,5/12/20,0,0,0,2020-05-12
United Kingdom,5/12/20,0,0,0,2020-05-12
Holy See,5/12/20,0,0,0,2020-05-12
United Kingdom,5/12/20,0,0,0,2020-05-12
Comoros,5/12/20,0,0,0,2020-05-12
Bhutan,5/12/20,0,0,0,2020-05-12
Denmark,5/12/20,0,0,0,2020-05-12
Seychelles,5/12/20,0,0,0,2020-05-12
Canada,5/12/20,0,0,0,2020-05-12
Suriname,5/12/20,0,0,0,2020-05-12
MS Zaandam,5/12/20,0,0,0,2020-05-12
Mauritania,5/12/20,0,0,0,2020-05-12
Papua New Guinea,5/12/20,0,0,0,2020-05-12
United Kingdom,5/12/20,0,0,0,2020-05-12
France,5/12/20,0,0,0,2020-05-12
Western Sahara,5/12/20,0,0,0,2020-05-12
Canada,5/12/20,0,0,0,2020-05-12
United Kingdom,5/12/20,0,0,0,2020-05-12
Canada,5/12/20,0,0,0,2020-05-12
China,5/12/20,0,0,0,2020-05-12
France,5/12/20,0,0,0,2020-05-12
