Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name_x,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Continent_code,Continent_name_y
Qatar,25.3548,51.1839,5/15/20,29425,14,3546,2020-05-15,AS,Asia,Qatar,2020-05-15,28.272,1733,0.014,0,9813.055,601.515,4.859,0.0,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,1.2,AS,Asia
Sweden,63.0,16.0,5/15/20,29207,3646,4971,2020-05-15,EU,Europe,Sweden,2020-05-15,28.582,673,3.529,69,2830.1059999999998,66.638,349.431,6.8320000000000025,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,133.982,4.79,18.8,18.9,2.22,EU,Europe
Portugal,39.3999,-8.2245,5/15/20,28583,1190,3328,2020-05-15,EU,Europe,Portugal,2020-05-15,28.319000000000006,187,1.1840000000000002,9,2777.2690000000002,18.339000000000002,116.116,0.883,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,127.84200000000001,9.85,16.3,30.0,3.39,EU,Europe
United States,53.7098,27.9534,5/15/20,27730,156,8807,2020-05-15,,North America,United States,2020-05-15,1417.889,27143,85.906,1773,4283.6179999999995,82.00200000000002,259.533,5.356,331002647.0,35.60800000000001,38.3,15.413,9.732000000000001,54225.445999999996,151.089,10.79,19.1,24.6,2.77,,North America
Singapore,1.2833,103.8333,5/15/20,26891,21,7248,2020-05-15,AS,Asia,Singapore,2020-05-15,26.098000000000006,752,0.021,0,4460.935,128.539,3.59,0.0,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,92.243,10.99,5.2,28.3,2.4,AS,Asia
Ireland,53.1424,-7.6921,5/15/20,23956,1518,19470,2020-05-15,EU,Europe,Ireland,2020-05-15,23.827,426,1.506,9,4825.432,86.273,304.994,1.8230000000000002,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,126.459,3.28,23.0,25.7,2.96,EU,Europe
Canada,51.2538,-85.3232,5/15/20,23258,1939,0,2020-05-15,,North America,Canada,2020-05-15,73.40100000000002,1123,5.472,168,1944.8010000000002,29.755,144.984,4.4510000000000005,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,105.59899999999999,7.37,12.0,16.6,2.5,,North America
United Arab Emirates,24.0,54.0,5/15/20,21831,210,7328,2020-05-15,AS,Asia,United Arab Emirates,2020-05-15,21.084,698,0.208,2,2131.764,70.57300000000002,21.03,0.20199999999999999,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,317.84,17.26,1.2,37.4,1.2,AS,Asia
Bangladesh,23.685,90.3563,5/15/20,20065,298,3882,2020-05-15,AS,Asia,Bangladesh,2020-05-15,18.863,1041,0.28300000000000003,14,114.537,6.3210000000000015,1.7180000000000002,0.085,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000013,298.003,8.38,1.0,44.7,0.8,AS,Asia
Poland,51.9194,19.1451,5/15/20,18016,907,6918,2020-05-15,EU,Europe,Poland,2020-05-15,17.615,411,0.883,22,465.431,10.86,23.331,0.581,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,EU,Europe
Ukraine,48.3794,31.1656,5/15/20,17330,476,4473,2020-05-15,EU,Europe,Ukraine,2020-05-15,16.847,422,0.456,17,385.217,9.649,10.427,0.389,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,8.8,EU,Europe
Israel,31.0,35.0,5/15/20,16589,266,12587,2020-05-15,AS,Asia,Israel,2020-05-15,16.579,31,0.265,1,1915.42,3.582,30.616,0.11599999999999999,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,93.32,6.74,15.4,35.4,2.99,AS,Asia
Indonesia,-0.7893,113.9213,5/15/20,16496,1076,3803,2020-05-15,AS,Asia,Indonesia,2020-05-15,16.006,568,1.043,15,58.518,2.077,3.813,0.055,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,342.8640000000001,6.32,2.8,76.1,1.04,AS,Asia
Indonesia,-0.7893,113.9213,5/15/20,16496,1076,3803,2020-05-15,AS,Asia,Indonesia,2020-05-15,0.024,0,0.0,0,18.203,0.0,0.0,0.0,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,335.346,6.86,6.3,78.1,5.9,AS,Asia
Romania,45.9432,24.9668,5/15/20,16437,1070,9370,2020-05-15,EU,Europe,Romania,2020-05-15,16.247,245,1.046,30,844.54,12.735,54.372,1.5590000000000002,19237682.0,85.12899999999998,43.0,17.85,11.69,23313.199,370.94599999999997,9.74,22.9,37.1,6.892,EU,Europe
Japan,36.0,138.0,5/15/20,16203,713,10338,2020-05-15,AS,Asia,Japan,2020-05-15,16.192999999999998,114,0.71,23,128.032,0.9009999999999999,5.614,0.182,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,13.05,AS,Asia
Australia,47.5162,14.5501,5/15/20,16109,628,14471,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Colombia,4.5709,-74.2973,5/15/20,14216,546,3460,2020-05-15,SA,South America,Colombia,2020-05-15,13.61,680,0.525,16,267.47700000000003,13.364,10.318,0.314,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,124.24,7.44,4.7,13.5,1.71,SA,South America
