Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name
China,30.0572,107.874,1/22/20,6,0,0,2020-01-22,AS,Asia
China,26.0789,117.9874,1/22/20,1,0,0,2020-01-22,AS,Asia
China,37.8099,101.0583,1/22/20,0,0,0,2020-01-22,AS,Asia
China,23.3417,113.4244,1/22/20,26,0,0,2020-01-22,AS,Asia
China,23.8298,108.7881,1/22/20,2,0,0,2020-01-22,AS,Asia
China,26.8154,106.8748,1/22/20,1,0,0,2020-01-22,AS,Asia
China,19.1959,109.7453,1/22/20,4,0,0,2020-01-22,AS,Asia
China,39.549,116.1306,1/22/20,1,0,0,2020-01-22,AS,Asia
China,47.861999999999995,127.7615,1/22/20,0,0,0,2020-01-22,AS,Asia
China,33.882,113.61399999999999,1/22/20,5,0,0,2020-01-22,AS,Asia
China,22.3,114.2,1/22/20,0,0,0,2020-01-22,AS,Asia
China,30.9756,112.2707,1/22/20,444,17,28,2020-01-22,AS,Asia
China,27.6104,111.7088,1/22/20,4,0,0,2020-01-22,AS,Asia
China,44.0935,113.9448,1/22/20,0,0,0,2020-01-22,AS,Asia
China,32.9711,119.455,1/22/20,1,0,0,2020-01-22,AS,Asia
China,27.614,115.7221,1/22/20,2,0,0,2020-01-22,AS,Asia
China,43.6661,126.1923,1/22/20,0,0,0,2020-01-22,AS,Asia
China,41.2956,122.6085,1/22/20,2,0,0,2020-01-22,AS,Asia
China,22.1667,113.55,1/22/20,1,0,0,2020-01-22,AS,Asia
China,37.2692,106.1655,1/22/20,1,0,0,2020-01-22,AS,Asia
China,35.7452,95.9956,1/22/20,0,0,0,2020-01-22,AS,Asia
China,35.1917,108.8701,1/22/20,0,0,0,2020-01-22,AS,Asia
China,36.3427,118.1498,1/22/20,2,0,0,2020-01-22,AS,Asia
China,31.201999999999998,121.4491,1/22/20,9,0,0,2020-01-22,AS,Asia
China,37.5777,112.2922,1/22/20,1,0,0,2020-01-22,AS,Asia
China,30.6171,102.7103,1/22/20,5,0,0,2020-01-22,AS,Asia
China,39.3054,117.323,1/22/20,4,0,0,2020-01-22,AS,Asia
China,31.6927,88.0924,1/22/20,0,0,0,2020-01-22,AS,Asia
China,41.1129,85.2401,1/22/20,0,0,0,2020-01-22,AS,Asia
China,24.974,101.48700000000001,1/22/20,1,0,0,2020-01-22,AS,Asia
China,29.1832,120.0934,1/22/20,10,0,0,2020-01-22,AS,Asia
Colombia,4.5709,-74.2973,1/22/20,0,0,0,2020-01-22,SA,South America
Costa Rica,9.7489,-83.7534,1/22/20,0,0,0,2020-01-22,NA,North America
Croatia,45.1,15.2,1/22/20,0,0,0,2020-01-22,EU,Europe
Cuba,22.0,-80.0,1/22/20,0,0,0,2020-01-22,NA,North America
United States,35.1264,33.4299,1/22/20,0,0,0,2020-01-22,NA,North America
Czechia,49.8175,15.472999999999999,1/22/20,0,0,0,2020-01-22,EU,Europe
Denmark,61.8926,-6.9118,1/22/20,0,0,0,2020-01-22,EU,Europe
Denmark,71.7069,-42.6043,1/22/20,0,0,0,2020-01-22,EU,Europe
Denmark,56.2639,9.5018,1/22/20,0,0,0,2020-01-22,EU,Europe
Djibouti,11.8251,42.5903,1/22/20,0,0,0,2020-01-22,AF,Africa
Dominican Republic,18.7357,-70.1627,1/22/20,0,0,0,2020-01-22,NA,North America
Ecuador,-1.8312,-78.1834,1/22/20,0,0,0,2020-01-22,SA,South America
Egypt,26.0,30.0,1/22/20,0,0,0,2020-01-22,AF,Africa
El Salvador,13.7942,-88.8965,1/22/20,0,0,0,2020-01-22,NA,North America
Equatorial Guinea,1.5,10.0,1/22/20,0,0,0,2020-01-22,AF,Africa
Eritrea,15.1794,39.7823,1/22/20,0,0,0,2020-01-22,AF,Africa
Estonia,58.5953,25.0136,1/22/20,0,0,0,2020-01-22,EU,Europe
Eswatini,-26.5225,31.4659,1/22/20,0,0,0,2020-01-22,AF,Africa
Ethiopia,9.145,40.4897,1/22/20,0,0,0,2020-01-22,AF,Africa
Fiji,-17.7134,178.065,1/22/20,0,0,0,2020-01-22,OC,Oceania
Finland,64.0,26.0,1/22/20,0,0,0,2020-01-22,EU,Europe
France,3.9339,-53.1258,1/22/20,0,0,0,2020-01-22,EU,Europe
